17000,bambini,55110,15,156711,420
26227,creator,41084,137,1585584,324
47480,Kowalsky,43670,1912,22911088,10
47821,MiGuSiK,54565,12,75965,430
48660,Kiohin,41084,19,209647,412
52313,madame,16650,114,1268104,343
63829,Wiza%C5%BCanka,54565,1637,18717264,36
95243,alcapone25,0,720,8062516,175
108935,Kr%C3%B3l+Garond,55030,390,4321686,244
121642,mborsuk,19711,270,3253409,267
124420,swistak16,54565,1507,17910515,44
125044,Angre,54765,1271,14550563,81
135000,pio06,0,10,36709,436
135899,Bati007,54565,1003,12135391,109
158585,po25,54565,105,1200642,348
164877,Karolbp,16650,924,10741140,135
179918,%2ANEMEZIS%2A,54565,1293,15614575,71
183144,Dwarfik,54565,791,9578759,147
187766,Jabbarek,54565,419,5002177,231
206973,Diaboleus,54565,1897,22896145,11
220181,Paola65,54634,1,10602,445
228824,Kristo1712,55030,38,92559,428
232356,DragonDG,16650,125,1511877,330
233331,Jakotako+111,0,1,2816,450
235485,sonrisa,54565,1040,12133871,110
294459,Vagabundus,54565,741,8799290,161
302586,Seelenight,54765,1239,12120478,111
319645,tancerz+miecza,4647,57,472335,392
324660,dragon+of+death,16650,1490,16529245,61
325977,Printer,54765,114,1238063,344
332221,miwit,0,52,550727,382
334610,Adi-Adriano,54565,1771,21343779,17
345510,manio7574,0,803,8051577,177
348292,macie1,54565,1494,18098887,42
351298,Koziczka,43670,410,3933893,248
355653,D-Shiznit,41084,505,5597739,209
358105,Gelehad,54769,1,2226,455
359650,raivan,54565,264,3151152,270
359746,ofiara+peruna,41084,1291,14028935,89
385240,greqqq,54565,1075,11684058,121
385954,Peety,16650,974,11500805,123
390034,Jolka+Wspania%C5%82a,54565,47,478753,390
412872,Szef007,41084,835,9288864,153
416290,%3DKalina%3D,41084,934,11211806,127
422778,marek75-75,0,21,255234,410
426520,maciek1127,54565,408,3595774,258
434475,krzysztof32,54765,495,4081624,246
444797,inferno-pl,54765,2,20901,438
451777,mwybranowski,54565,64,318668,405
457379,monrafgol,54565,2368,28758979,1
465012,Varico,16650,456,5249158,224
479834,manzis,4647,168,1728695,317
490764,mrozowo,54565,200,2183573,301
494409,KODOFIX,54565,1428,17270980,54
501242,PERS+16,43670,497,3056074,273
503871,sir+Sornann,54565,337,3660511,254
506325,Antek007,54565,1801,21111595,21
506561,%2AM%C5%9Bciciel%2A,54565,2056,24359215,8
510144,PacPac,55086,1319,14353541,83
519121,Willy1993,41084,1062,10291339,142
520106,Herod+Judmejski,54565,2056,24874351,7
521291,ekomalpa,54565,245,2625832,287
521485,tomasso301,54565,561,6503888,197
522083,King+Inferno+1,54565,1239,14894737,77
523257,filippo75,41084,56,597234,379
523757,Gondor+Knight,54565,48,570637,380
524529,Mahadev,54565,31,257975,409
525140,Polax%2A,54565,689,8198011,173
525434,Galadhaar,54565,102,1120762,350
525834,turnik,54565,162,1364440,337
526713,Denaros,54769,6,68675,432
527056,Lord+DJMisiek,54884,146,1445891,332
529621,tu%C5%9B%C5%9B,4647,56,329022,403
531414,jaroch,16650,1319,14131134,87
534021,Farmistrz,54565,115,1160211,349
535519,obszarnik,54565,1710,20667295,22
536616,vec44,54565,968,9451456,149
536722,micku%C5%9B,54565,474,5439223,214
539662,mario68,54760,7,77257,429
540109,MarioAl6P,41084,323,3324493,265
542808,Anatu,41084,170,2021631,307
546023,lalus6,54565,1193,12104402,112
549309,Piotr+XV,54565,169,1878459,312
549635,negro111,54565,449,5072912,228
549825,Neferoe,54760,1,2250,454
550041,Velonik,19711,676,6942510,188
550433,Smoczek666,54565,16,176921,416
550439,Core2DuoE6420,54565,212,2014758,308
552462,jarzabekmmz,54565,260,2728700,281
552466,%C5%81ukasz+Mielczarek,54765,1351,15347854,74
554077,SiuStrUlkA,43670,874,10557795,137
554964,Cesarzowa+Agusia,43670,564,5919614,206
556206,rebe5,54565,409,3207566,269
556294,Mythios,54765,105,718404,370
558187,Legatus+Maximus,54765,408,3806704,249
558461,karkom,54565,468,5557196,211
559327,Wolfbrigade,54765,22,187114,414
560306,jancio84,54765,1218,13043409,98
561496,zabujca36,16650,955,11301960,125
561497,Lotus12,55030,437,4789551,234
562300,idiota1,54565,1108,11931661,117
562605,hanskloss,54565,727,8134630,174
564097,L+e+m+u+r,54634,191,1355631,338
565502,Varik,54565,260,3013331,274
566035,Rusek86,0,96,986381,355
566232,Sqpek,54565,2333,28342570,3
566379,floraI,54765,120,1416539,333
566988,Xemi,43670,29,281112,407
570116,seboss10,54765,422,3078116,271
570188,santiagobernabeu,55054,88,602116,376
570745,Tommq,16650,504,4136034,245
570815,Micand1,54765,28,332976,402
571447,Odmieniec,54565,117,953548,357
571816,margin-angel,54765,1080,11711527,118
572489,The+Marley,55110,10,121540,425
572840,Chudy+-+M.+J.,41084,1211,14716326,80
574604,ju%C5%BC+w+u%C5%BCyciu,54565,62,742444,367
575131,Barbara18,19711,215,2533505,291
575463,jamala30,54565,499,6064721,201
575873,muszka86,0,1,12154,443
577669,Dominik+G,16650,1724,18822283,34
578328,Ronin11,54565,2054,20509821,23
578850,H0bbiT,54765,898,10103157,143
581611,stanley223,54565,1368,16088242,64
581646,Radomir01,16650,110,1212907,347
581855,claudia123,54565,1099,13168260,97
582214,enno,54565,672,6805991,191
582315,inmortalis,43670,623,7530667,182
582791,Rozalion,4647,59,631962,374
584034,Gambrinus,54565,654,7944885,178
584543,Z%C5%82yDotyk,16650,814,8626072,165
585674,Mario1001,16650,22,267309,408
586390,Sacan,41084,1501,17059815,56
587377,kamil0007,16650,150,1634374,321
588465,pinch,41084,116,1344041,340
588985,gnutek+All,54565,68,688438,372
589399,kamil%40kamil%40,43670,513,5083761,227
590413,A5T31RA,16650,51,514344,384
590871,CLINER,54765,1761,19907238,27
592963,bartas8,54765,1308,13978528,92
594129,kosy1,16650,236,2595442,289
594430,J-26,54565,1885,22286058,14
595775,Bia%C5%82yJar,54565,241,2928118,276
595945,jack32,41084,1821,21296592,18
596243,Miker+King,16650,1,2564,452
596438,Fighterwinner,41084,471,5428740,215
597603,Pocz%C4%85tek+i+Koniec,54765,451,4026704,247
598474,Dominik+Siadul,43670,1282,14289625,85
599105,Nahajka,41084,15,174608,417
601095,kusy1,54565,2320,28195564,4
602344,peterko123,43670,363,4403402,243
602396,lipekdwl,54565,309,3643808,255
604383,goorka,55118,162,1538028,326
606539,GrzechuStary,54565,1845,22366093,12
607747,lord+all,55030,28,327728,404
607962,MapietN,41084,1533,18614697,38
609286,Appi,16650,1613,17024069,57
609384,Brbi,54565,226,2258121,296
610740,kamilrob,8280,65,484667,388
610751,toporek1,16650,204,2222049,298
611645,guliardo,54765,124,1327952,341
612912,RATAJ04,16650,1586,17751444,45
613198,Hai+Long,41084,333,1636364,320
613558,misza1981,54765,562,5351414,218
614984,schindler,8280,75,763166,365
615254,nekaa,54565,1670,19915095,26
615564,mienia2,16650,255,2584381,290
618174,osjanisko,16650,34,385563,399
618431,SZTYLETOR,41084,82,952228,358
619039,pawel+1973,16650,714,7529036,183
620500,Uszat4,43670,41,494164,387
620684,Piotrek233,54992,11,123509,424
621468,%3D+Malygos+%3D,54565,2227,22168750,15
622476,rosole,41084,265,3071626,272
622616,Ola212,16650,43,497835,386
625006,jurica,54565,793,8793474,162
625022,dukatkg,43670,793,9601402,146
625148,kolcz89,54565,319,3628985,257
625256,jaras2,54565,190,2182047,302
626585,grze19,43670,112,1034040,353
627978,Rbit,54565,248,2914412,277
628577,Teranowa,16650,633,7080294,186
